model_name,32_images_per_second,32_ms_per_image,32_top_1_acc,32_top_5_acc,16_images_per_second,16_ms_per_image,16_top_1_acc,16_top_5_acc,8_images_per_second,8_ms_per_image,8_top_1_acc,8_top_5_acc
mobilenetv2_wd4,1616.8549,0.6185,49.2300,74.7200,2114.8902,0.4728,49.1800,74.6800,2320.2485,0.4310,48.0000,73.1200
mobilenetv2_wd2,1265.8652,0.7900,63.1400,85.4500,1961.2609,0.5099,63.1500,85.4100,2215.3912,0.4514,62.9000,85.4300
mnasnet0_5,1168.3837,0.8559,67.0000,87.8800,1849.4026,0.5407,67.0000,87.9100,2073.5110,0.4823,63.3500,85.5900
mobilenetv2_w3d4,1037.3407,0.9640,69.4500,89.8500,1806.5946,0.5535,69.4600,89.8400,2039.1934,0.4904,68.6800,89.6800
timm_regnetx_002,909.1901,1.0999,68.1700,89.0600,1774.0194,0.5637,68.1800,89.0500,2192.6265,0.4561,68.0900,89.2200
mobilenet_v2,942.2403,1.0613,72.0000,91.3900,1735.9013,0.5761,71.9400,91.3900,1970.9831,0.5074,69.5600,89.8800
mobilenetv2_w1,926.0690,1.0798,72.9200,92.1700,1714.7362,0.5832,72.9100,92.1800,1953.1081,0.5120,72.8100,92.1000
resnet18,778.0981,1.2852,70.1900,90.4900,1627.8676,0.6143,70.1700,90.4900,1983.9009,0.5041,69.9900,90.2900
genet_small,776.7373,1.2874,77.4400,94.3300,1603.6666,0.6236,77.4500,94.3500,1843.2402,0.5425,76.7300,94.2300
mnasnet1_0,844.0474,1.1848,73.1700,92.5600,1601.8177,0.6243,73.1200,92.5500,1798.9551,0.5559,71.9900,92.0200
timm_regnetx_008,556.6269,1.7965,74.6200,93.0200,1409.9509,0.7092,74.6100,93.0100,1442.9796,0.6930,74.6900,93.1800
timm_regnetx_004,517.3885,1.9328,72.4300,91.5300,1224.5497,0.8166,72.4400,91.5300,1309.0107,0.7639,70.4900,90.4100
mobilenetv3_large_w1,824.6238,1.2127,74.9700,93.1600,1202.3328,0.8317,74.9500,93.1200,1120.9300,0.8921,68.1500,89.4100
genet_normal,468.1213,2.1362,81.6400,96.1000,1186.7759,0.8426,81.6700,96.0900,1431.3336,0.6986,80.7100,96.0500
timm_regnety_002,721.3538,1.3863,69.4000,90.2200,1173.0991,0.8524,69.3700,90.2300,1224.0688,0.8169,69.2900,90.0500
timm_regnety_008,513.8534,1.9461,76.9000,94.0800,1064.4805,0.9394,76.9100,94.0700,943.5493,1.0598,76.5100,93.9400
resnet34,457.5141,2.1857,73.3300,92.4500,1018.1243,0.9822,73.2900,92.4600,1224.8739,0.8164,73.3400,92.4900
timm_regnety_006,521.2842,1.9183,75.0900,93.1100,969.7971,1.0311,75.0700,93.1100,919.0321,1.0881,74.8900,93.0500
resnet50,387.4216,2.5812,76.2800,94.0400,944.2023,1.0591,76.3200,94.0400,1176.1809,0.8502,76.3000,94.1800
timm_regnety_004,514.8990,1.9421,74.4500,92.3300,935.9674,1.0684,74.4400,92.3500,992.3073,1.0078,73.8700,92.2300
genet_large,341.3130,2.9299,82.3900,96.5400,926.8177,1.0790,82.3600,96.5500,1107.4048,0.9030,79.4900,96.1800
resnext50_32x4d,333.9307,2.9946,78.6700,94.5800,899.9260,1.1112,78.6000,94.5600,1110.2494,0.9007,78.5300,94.5700
efficientnet_b0b,569.7303,1.7552,76.6500,93.9100,899.3350,1.1119,76.6500,93.9300,793.8755,1.2596,67.0700,87.9700
efficientnet_b0,568.6939,1.7584,75.8900,93.4000,889.5547,1.1242,75.9100,93.4300,792.5191,1.2618,61.6000,85.3100
vgg11_bn,417.0060,2.3980,71.5200,91.1800,888.2357,1.1258,71.5000,91.1900,1294.9393,0.7722,71.2300,91.1400
vgg11,412.4150,2.4247,68.9600,89.5200,881.9611,1.1338,68.9600,89.4900,1296.2418,0.7715,68.7700,89.6200
timm_res2net50_48w_2s,354.7889,2.8186,78.4500,94.5500,845.7001,1.1825,78.4100,94.5000,1003.1473,0.9969,78.2000,94.5000
vgg13,342.1581,2.9226,70.1900,90.1900,776.2234,1.2883,70.1700,90.2200,1172.7741,0.8527,70.0600,90.2400
vgg13_bn,331.8216,3.0137,72.0700,91.6500,773.2564,1.2932,72.0700,91.6300,1167.7301,0.8564,72.0300,91.5000
timm_regnetx_006,488.7404,2.0461,74.1700,92.6100,659.5951,1.5161,74.1900,92.6100,637.6276,1.5683,73.4200,92.2800
vgg16_bn,316.0273,3.1643,74.0800,92.9300,658.0736,1.5196,74.0600,92.9200,1001.6347,0.9984,74.0000,92.9200
vgg16,316.8251,3.1563,72.2700,91.5000,656.3968,1.5235,72.2600,91.4900,1009.9202,0.9902,71.9300,91.5600
efficientnet_b1,394.3418,2.5359,76.4600,94.1800,653.2199,1.5309,76.4400,94.1700,572.1228,1.7479,64.4700,87.3800
wide_resnet50,308.2673,3.2439,78.2800,95.0100,626.4388,1.5963,78.3100,94.9800,826.6040,1.2098,78.0300,95.0200
mixnet_s,505.6916,1.9775,76.6300,93.8700,616.5262,1.6220,76.5800,93.8600,569.6762,1.7554,73.3400,92.3500
timm_res2next50,235.9355,4.2384,78.3100,95.1600,581.4193,1.7199,78.2900,95.1600,685.0987,1.4596,78.1300,95.0200
